iter	Passed	Remaining
0	137	137121
1	138	69070
2	139	46400
3	141	35131
4	142	28289
5	143	23732
6	144	20463
7	145	17995
8	146	16085
9	147	14639
10	148	13380
11	149	12325
12	150	11436
13	151	10679
14	152	10033
15	154	9472
16	155	8965
17	156	8513
18	157	8117
19	158	7755
20	159	7426
21	160	7149
22	161	6872
23	162	6622
24	163	6384
25	164	6164
26	166	5999
27	167	5818
28	168	5645
29	169	5482
30	170	5341
31	171	5198
32	173	5070
33	174	4951
34	175	4834
35	176	4720
36	177	4614
37	178	4511
38	179	4416
39	180	4323
40	181	4234
41	182	4154
42	183	4073
43	183	3994
44	184	3920
45	185	3851
46	187	3806
47	188	3741
48	189	3679
49	190	3618
50	191	3564
51	192	3511
52	193	3458
53	194	3407
54	195	3357
55	196	3307
56	197	3261
57	198	3215
58	198	3171
59	199	3127
60	200	3092
61	201	3054
62	202	3016
63	203	2978
64	204	2940
65	205	2907
66	206	2874
67	207	2840
68	208	2810
69	209	2777
70	209	2747
71	210	2716
72	211	2687
73	212	2658
74	213	2630
75	214	2602
76	214	2576
77	215	2551
78	216	2527
79	217	2503
80	218	2478
81	219	2454
82	219	2428
83	220	2405
84	221	2383
85	222	2362
86	223	2341
87	223	2320
88	224	2301
89	225	2282
90	226	2263
91	227	2245
92	228	2229
93	229	2212
94	230	2196
95	231	2178
96	232	2161
97	233	2144
98	233	2128
99	234	2111
100	235	2094
101	236	2078
102	236	2063
103	237	2047
104	238	2032
105	239	2017
106	240	2005
107	241	1991
108	241	1976
109	242	1962
110	243	1950
111	244	1938
112	245	1925
113	246	1913
114	246	1900
115	247	1887
116	248	1874
117	249	1862
118	250	1851
119	250	1839
120	251	1828
121	252	1815
122	253	1804
123	254	1794
124	254	1784
125	255	1774
126	256	1762
127	257	1753
128	258	1744
129	259	1737
130	260	1727
131	261	1717
132	261	1707
133	262	1697
134	263	1689
135	264	1680
136	265	1671
137	266	1661
138	266	1653
139	267	1644
140	268	1635
141	269	1625
142	269	1617
143	270	1608
144	271	1600
145	272	1593
146	273	1588
147	274	1580
148	275	1573
149	276	1566
150	277	1559
151	278	1552
152	279	1546
153	280	1539
154	281	1532
155	282	1528
156	283	1521
157	284	1515
158	285	1508
159	286	1503
160	287	1496
161	288	1490
162	288	1483
163	289	1476
164	290	1470
165	291	1465
166	292	1459
167	293	1453
168	294	1447
169	295	1442
170	296	1437
171	297	1434
172	298	1429
173	299	1423
174	301	1421
175	303	1420
176	304	1416
177	306	1414
178	307	1409
179	308	1404
180	309	1401
181	310	1397
182	311	1392
183	312	1387
184	313	1382
185	314	1376
186	315	1371
187	316	1366
188	317	1361
189	318	1355
190	319	1351
191	320	1348
192	321	1343
193	322	1339
194	323	1336
195	325	1334
196	326	1330
197	327	1326
198	328	1322
199	329	1318
200	330	1315
201	331	1311
202	332	1307
203	333	1302
204	334	1298
205	335	1295
206	337	1292
207	339	1292
208	340	1288
209	341	1284
210	342	1280
211	343	1276
212	344	1272
213	345	1268
214	346	1264
215	347	1260
216	348	1256
217	349	1255
218	357	1273
219	358	1272
220	360	1269
221	362	1272
222	363	1268
223	364	1264
224	365	1260
225	366	1256
226	369	1257
227	370	1254
228	371	1251
229	373	1249
230	374	1246
231	375	1242
232	376	1239
233	377	1235
234	378	1231
235	379	1227
236	379	1223
237	380	1219
238	381	1215
239	383	1214
240	384	1211
241	385	1207
242	386	1204
243	387	1200
244	388	1196
245	389	1193
246	390	1190
247	391	1187
248	392	1184
249	394	1182
250	395	1178
251	395	1175
252	398	1175
253	399	1172
254	400	1168
255	400	1165
256	401	1161
257	402	1158
258	403	1155
259	404	1152
260	405	1148
261	406	1145
262	407	1142
263	408	1139
264	409	1136
265	410	1133
266	411	1130
267	412	1127
268	413	1124
269	414	1121
270	415	1118
271	416	1114
272	417	1111
273	418	1107
274	418	1104
275	419	1100
276	420	1097
277	421	1094
278	422	1092
279	423	1089
280	424	1086
281	426	1084
282	427	1084
283	428	1081
284	429	1078
285	430	1074
286	431	1071
287	432	1068
288	433	1065
289	433	1062
290	434	1059
291	436	1057
292	437	1054
293	438	1052
294	439	1049
295	440	1046
296	441	1044
297	442	1042
298	443	1039
299	444	1036
300	445	1033
301	446	1031
302	447	1028
303	448	1026
304	449	1024
305	450	1021
306	451	1019
307	452	1016
308	453	1013
309	454	1011
310	455	1009
311	456	1007
312	457	1005
313	458	1002
314	460	1000
315	460	997
316	461	995
317	463	993
318	464	991
319	465	988
320	466	986
321	467	983
322	468	981
323	469	979
324	470	977
325	471	975
326	472	972
327	473	970
328	474	968
329	475	965
330	476	963
331	477	961
332	478	958
333	479	956
334	480	954
335	481	951
336	482	949
337	483	947
338	484	945
339	485	942
340	486	940
341	487	937
342	488	935
343	489	933
344	490	931
345	491	929
346	492	926
347	493	924
348	494	921
349	495	919
350	495	916
351	497	915
352	498	913
353	499	911
354	500	909
355	501	906
356	502	904
357	503	902
358	504	900
359	505	898
360	506	896
361	507	894
362	508	892
363	509	890
364	510	888
365	512	886
366	513	885
367	514	883
368	515	881
369	516	879
370	517	877
371	518	876
372	520	874
373	521	872
374	522	870
375	523	868
376	523	865
377	526	866
378	527	864
379	528	862
380	529	860
381	530	858
382	531	855
383	532	853
384	533	852
385	534	850
386	535	848
387	536	846
388	537	843
389	538	841
390	539	840
391	540	839
